x,u
0,0
0.0471239,-0.0139399
0.0942478,-0.0278488
0.141372,-0.0416959
0.188496,-0.0554505
0.235619,-0.0690819
0.282743,-0.0825599
0.329867,-0.0958547
0.376991,-0.108937
0.424115,-0.121777
0.471239,-0.134346
0.518363,-0.146618
0.565487,-0.158564
0.612611,-0.170157
0.659734,-0.181373
0.706858,-0.192187
0.753982,-0.202573
0.801106,-0.21251
0.84823,-0.221975
0.895354,-0.230947
0.942478,-0.239407
0.989602,-0.247335
1.03673,-0.254714
1.08385,-0.261527
1.13097,-0.267759
1.1781,-0.273397
1.22522,-0.278428
1.27235,-0.282841
1.31947,-0.286626
1.36659,-0.289775
1.41372,-0.29228
1.46084,-0.294136
1.50796,-0.295339
1.55509,-0.295887
1.60221,-0.295777
1.64934,-0.295011
1.69646,-0.29359
1.74358,-0.291517
1.79071,-0.288796
1.83783,-0.285435
1.88496,-0.28144
1.93208,-0.27682
1.9792,-0.271585
2.02633,-0.265747
2.07345,-0.259319
2.12058,-0.252316
2.1677,-0.244752
2.21482,-0.236645
2.26195,-0.228013
2.30907,-0.218874
2.35619,-0.209249
2.40332,-0.19916
2.45044,-0.188629
2.49757,-0.177678
2.54469,-0.166333
2.59181,-0.154619
2.63894,-0.142562
2.68606,-0.130188
2.73319,-0.117525
2.78031,-0.104601
2.82743,-0.0914453
2.87456,-0.0780862
2.92168,-0.0645536
2.96881,-0.0508778
3.01593,-0.037089
3.06305,-0.0232179
3.11018,-0.00929517
3.1573,0.00464816
3.20442,0.0185812
3.25155,0.0324729
3.29867,0.0462926
3.3458,0.0600095
3.39292,0.0735931
3.44004,0.0870133
3.48717,0.10024
3.53429,0.113245
3.58142,0.125998
3.62854,0.138471
3.67566,0.150637
3.72279,0.162469
3.76991,0.173939
3.81704,0.185024
3.86416,0.195698
3.91128,0.205937
3.95841,0.215719
4.00553,0.225022
4.05265,0.233825
4.09978,0.242109
4.1469,0.249856
4.19403,0.257048
4.24115,0.263669
4.28827,0.269705
4.3354,0.275142
4.38252,0.279969
4.42965,0.284173
4.47677,0.287747
4.52389,0.290682
4.57102,0.292971
4.61814,0.29461
4.66527,0.295595
4.71239,0.295923
