x,u
0.000000,0.000000
0.094248,-0.028096
0.188496,-0.055942
0.282743,-0.083292
0.376991,-0.109903
0.471239,-0.135538
0.565487,-0.159970
0.659734,-0.182983
0.753982,-0.204371
0.848230,-0.223945
0.942478,-0.241531
1.036726,-0.256973
1.130973,-0.270135
1.225221,-0.280899
1.319469,-0.289169
1.413717,-0.294873
1.507964,-0.297960
1.602212,-0.298401
1.696460,-0.296195
1.790708,-0.291359
1.884956,-0.283937
1.979203,-0.273994
2.073451,-0.261620
2.167699,-0.246924
2.261947,-0.230036
2.356194,-0.211106
2.450442,-0.190302
2.544690,-0.167809
2.638938,-0.143827
2.733186,-0.118568
2.827433,-0.092257
2.921681,-0.065126
3.015929,-0.037418
3.110177,-0.009378
3.204425,0.018746
3.298672,0.046703
3.392920,0.074246
3.487168,0.101130
3.581416,0.127116
3.675663,0.151974
3.769911,0.175483
3.864159,0.197434
3.958407,0.217633
4.052655,0.235900
4.146902,0.252073
4.241150,0.266009
4.335398,0.277584
4.429646,0.286694
4.523893,0.293261
4.618141,0.297224
4.712389,0.298549
